,,GermanMale,GermanFemale,GermanTotal,ForeignMale,ForeignFemale,ForeignTotal,Male,Female,Total
2007,Bayern,5524969,5797104,11322073,602274,580300,1182574,6127243,6377404,12504647
2007,Berlin,1419652,1514634,2934286,248039,225300,473339,1667691,1739934,3407625
2007,Brandenburg,1220130,1255454,2475584,38570,27474,66044,1258700,1282928,2541628
2007,Bremen,278775,299786,578561,43277,41502,84779,322052,341288,663340
2007,Hamburg,727713,783515,1511228,132713,117770,250483,860426,901285,1761711
2007,Hessen,2632736,2755094,5387830,339421,345263,684684,2972157,3100357,6072514
2007,Mecklenburg-Vorpommern,812940,834372,1647312,23131,16239,39370,836071,850611,1686682
2007,Niedersachsen,3638625,3803759,7442384,276001,261057,537058,3914626,4064816,7979442
2007,Nordrhein-Westfalen,7800364,8297047,16097411,980643,933903,1914546,8781007,9230950,18011957
2007,Rheinland-Pfalz,1820343,1913039,3733382,166111,149966,316077,1986454,2063005,4049459
2007,Saarland,461791,491531,953322,43893,42750,86643,505684,534281,1039965
2007,Sachsen,1999412,2115806,4115218,67577,51582,119159,2066989,2167388,4234377
2007,Sachsen-Anhalt,1160070,1221449,2381519,26941,19142,46083,1187011,1240591,2427602
2007,Schleswig-Holstein,1312482,1371316,2683798,75257,76212,151469,1387739,1447528,2835267
2007,Thueringen,1105838,1146914,2252752,28159,19219,47378,1133997,1166133,2300130
2008,Baden-Wuerttemberg,4637265,4842283,9479548,648814,623291,1272105,5286079,5465574,10751653
2008,Bayern,5538751,5800685,11339436,599786,581588,1181374,6138537,6382273,12520810
2008,Berlin,1426224,1517955,2944179,250911,229549,480460,1677135,1747504,3424639
2008,Brandenburg,1214919,1249107,2464026,37797,27556,65353,1252716,1276663,2529379
2008,Bremen,278738,298848,577586,42952,41495,84447,321690,340343,662033
2008,Hamburg,733962,787880,1521842,131937,117753,249690,865899,905633,1771532
2008,Hessen,2636465,2752901,5389366,336123,344338,680461,2972588,3097239,6069827
2008,Mecklenburg-Vorpommern,805918,826890,1632808,23172,16347,39519,829090,843237,1672327
2008,Niedersachsen,3634210,3794104,7428314,273297,259585,532882,3907507,4053689,7961196
2008,Nordrhein-Westfalen,7790515,8273135,16063650,972438,931690,1904128,8762953,9204825,17967778
2008,Rheinland-Pfalz,1817308,1907068,3724376,164607,149376,313983,1981915,2056444,4038359
2008,Saarland,459024,488266,947290,43735,42613,86348,502759,530879,1033638
2008,Sachsen,1989490,2099837,4089327,64876,51113,115989,2054366,2150950,4205316
2008,Sachsen-Anhalt,1147170,1205558,2352728,25876,18818,44694,1173046,1224376,2397422
2008,Schleswig-Holstein,1314417,1371785,2686202,74189,75480,149669,1388606,1447265,2835871
2008,Thueringen,1095784,1134977,2230761,27925,19310,47235,1123709,1154287,2277996
2009,Baden-Wuerttemberg,4642246,4837860,9480106,644168,622652,1266820,5286414,5460512,10746926
2009,Bayern,5545126,5796284,11341410,586128,576337,1162465,6131254,6372621,12503875
2009,Berlin,1435920,1523858,2959778,246191,228612,474803,1682111,1752470,3434581
2009,Brandenburg,1209373,1242178,2451551,37110,27575,64685,1246483,1269753,2516236
2009,Bremen,278994,298048,577042,42669,41234,83903,321663,339282,660945
2009,Hamburg,738855,791660,1530515,130570,117022,247592,869425,908682,1778107
2009,Hessen,2639217,2750083,5389300,331168,341851,673019,2970385,3091934,6062319
2009,Mecklenburg-Vorpommern,798786,819750,1618536,22364,15926,38290,821150,835676,1656826
2009,Niedersachsen,3627794,3782070,7409864,270790,258053,528843,3898584,4040123,7938707
2009,Nordrhein-Westfalen,7775898,8243016,16018914,954137,922891,1877028,8730035,9165907,17895942
2009,Rheinland-Pfalz,1812880,1899001,3711881,160551,146638,307189,1973431,2045639,4019070
2009,Saarland,455841,484386,940227,43319,42448,85767,499160,526834,1025994
2009,Sachsen,1979412,2084422,4063834,63731,50758,114489,2043143,2135180,4178323
2009,Sachsen-Anhalt,1135186,1190683,2325869,24082,17987,42069,1159268,1208670,2367938
2009,Schleswig-Holstein,1315217,1370983,2686200,71409,73864,145273,1386626,1444847,2831473
2009,Thueringen,1086447,1124009,2210456,27691,19361,47052,1114138,1143370,2257508
2010,Baden-Wuerttemberg,4644839,4832784,9477623,646042,624785,1270827,5290881,5457569,10748450
2010,Bayern,5551892,5792793,11344685,594788,583218,1178006,6146680,6376011,12522691
2010,Berlin,1446841,1530982,2977823,241684,227466,469150,1688525,1758448,3446973
2010,Brandenburg,1205104,1236758,2441862,37379,28309,65688,1242483,1265067,2507550
2010,Bremen,279915,297991,577906,41803,40728,82531,321718,338719,660437
2010,Hamburg,744314,795706,1540020,125614,114431,240045,869928,910137,1780065
2010,Hessen,2641629,2747116,5388745,332319,343102,675421,2973948,3090218,6064166
2010,Mecklenburg-Vorpommern,793053,814525,1607578,22496,16256,38752,815549,830781,1646330
2010,Niedersachsen,3623076,3771185,7394261,272101,258999,531100,3895177,4030184,7925361
2010,Nordrhein-Westfalen,7764322,8216963,15981285,949112,923271,1872383,8713434,9140234,17853668
2010,Rheinland-Pfalz,1808182,1891782,3699964,160355,147135,307490,1968537,2038917,4007454
2010,Saarland,453289,481064,934353,43116,42499,85615,496405,523563,1019968
2010,Sachsen,1971670,2071595,4043265,62092,50430,112522,2033762,2122025,4155787
2010,Sachsen-Anhalt,1124409,1177895,2302304,24155,18391,42546,1148564,1196286,2344850
2010,Schleswig-Holstein,1316739,1370936,2687675,70772,73715,144487,1387511,1444651,2832162
2010,Thueringen,1078644,1114864,2193508,28125,19926,48051,1106769,1134790,2241559
2011,Baden-Wuerttemberg,4568015,4790262,9358277,570747,566450,1137197,5138762,5356712,10495473
2011,Bayern,5558516,5826329,11384845,513206,515338,1028544,6071722,6341667,12413388
2011,Berlin,1414417,1506443,2920860,190352,190963,381315,1604769,1697405,3302174
2011,Brandenburg,1186905,1226160,2413065,22213,21934,44147,1209118,1248093,2457211
2011,Bremen,279522,299721,579242,37043,35540,72583,316564,335261,651825
2011,Hamburg,717426,778380,1495805,110969,105170,216139,828394,883550,1711944
2011,Hessen,2587065,2722765,5309829,332154,339607,671761,2919218,3062372,5981590
2011,Mecklenburg-Vorpommern,779087,804256,1583342,14604,12898,27502,793691,817154,1610844
2011,Niedersachsen,3589261,3765151,7354411,213307,208823,422130,3802568,3973973,7776541
2011,Nordrhein-Westfalen,7714198,8220227,15934425,806750,803891,1610640,8520948,9024118,17545065
2011,Rheinland-Pfalz,1816275,1902308,3718583,135197,138330,273527,1951471,2040638,3992109
2011,Saarland,451544,481173,932717,33717,33434,67151,485261,514606,999867
2011,Sachsen,1937587,2043531,3981118,42266,36836,79101,1979853,2080367,4060219
2011,Sachsen-Anhalt,1094104,1151485,2245589,23343,18130,41473,1117447,1169615,2287061
2011,Schleswig-Holstein,1304616,1378516,2683131,56673,61397,118069,1361288,1439912,2801200
2011,Thueringen,1058474,1096468,2154942,17729,15803,33532,1076203,1112271,2188474
2012,Baden-Wuerttemberg,4573473,4787025,9360498,596942,583337,1180279,5170415,5370362,10540776
2012,Bayern,5566486,5821544,11388030,552210,541232,1093442,6118696,6362776,12481472
2012,Berlin,1425341,1514493,2939834,205769,205010,410779,1631110,1719503,3350612
2012,Brandenburg,1182084,1221639,2403722,24191,23433,47624,1206275,1245071,2451346
2012,Bremen,279178,298513,577690,38885,36903,75788,318063,335416,653478
2012,Hamburg,721919,781767,1503685,114737,107808,222545,836655,889575,1726230
2012,Hessen,2589197,2719619,5308816,346134,350177,696311,2935331,3069795,6005126
2012,Mecklenburg-Vorpommern,774128,799933,1574061,15742,13811,29553,789870,813744,1603613
2012,Niedersachsen,3583049,3753431,7336480,224394,215751,440145,3807443,3969181,7776624
2012,Nordrhein-Westfalen,7702604,8194911,15897515,830115,822004,1652119,8532719,9016915,17549634
2012,Rheinland-Pfalz,1811481,1894830,3706311,141412,142434,283845,1952893,2037263,3990156
2012,Saarland,448844,477548,926392,35237,34442,69679,484081,511990,996071
2012,Sachsen,1931873,2034160,3966032,46469,39693,86161,1978341,2073852,4052193
2012,Sachsen-Anhalt,1083608,1140088,2223696,25195,19174,44369,1108803,1159262,2268065
2012,Schleswig-Holstein,1304222,1376703,2680925,59951,63523,123474,1364173,1440226,2804399
2012,Thueringen,1050912,1088182,2139093,19687,17252,36939,1070598,1105434,2176032
2013,Baden-Wuerttemberg,4579117,4783779,9362895,630974,606326,1237300,5210091,5390104,10600195
2013,Bayern,5573953,5818229,11392182,596613,573113,1169726,6170566,6391342,12561908
2013,Berlin,1434739,1521109,2955848,222382,220296,442678,1657121,1741405,3398526
2013,Brandenburg,1178401,1218317,2396718,27000,25635,52635,1205400,1243952,2449352
2013,Bremen,278892,297318,576210,41235,38638,79873,320127,335956,656083
2013,Hamburg,725563,784570,1510133,119033,111142,230175,844596,895711,1740307
2013,Hessen,2589500,2715002,5304502,363317,363135,726451,2952817,3078137,6030953
2013,Mecklenburg-Vorpommern,769714,796091,1565804,17504,15108,32612,787218,811199,1598416
2013,Niedersachsen,3578198,3743064,7321262,238242,225274,463515,3816440,3968338,7784777
2013,Nordrhein-Westfalen,7689335,8165796,15855130,860179,847784,1707963,8549514,9013579,17563093
2013,Rheinland-Pfalz,1807030,1887501,3694530,149540,148253,297792,1956569,2035753,3992322
2013,Saarland,446310,474130,920440,36686,35377,72063,482996,509507,992503
2013,Sachsen,1927291,2025921,3953212,51543,43540,95083,1978834,2069461,4048295
2013,Sachsen-Anhalt,1073763,1129645,2203408,28002,20576,48578,1101765,1150221,2251985
2013,Schleswig-Holstein,1304349,1375581,2679929,64644,66670,131314,1368993,1442251,2811243
2013,Thueringen,1043545,1080392,2123937,22362,19352,41714,1065907,1099743,2165650
2014,Baden-Wuerttemberg,4584637,4781845,9366482,672828,634652,1307479,5257465,5416497,10673961
2014,Bayern,5576291,5813322,11389612,647268,611027,1258294,6223558,6424348,12647906
2014,Berlin,1441868,1526166,2968034,241137,236669,477806,1683005,1762835,3445839
2014,Brandenburg,1176632,1217004,2393636,31326,28572,59897,1207957,1245576,2453533
2014,Bremen,278275,295967,574241,44531,40868,85399,322806,336834,659640
2014,Hamburg,728226,786754,1514979,124471,115117,239588,852696,901871,1754567
2014,Hessen,2589591,2711017,5300607,387585,381465,769050,2977176,3092481,6069657
2014,Mecklenburg-Vorpommern,766347,793492,1559838,20792,17192,37984,787138,810684,1597822
2014,Niedersachsen,3574936,3734292,7309228,259048,240374,499422,3833983,3974666,7808649
2014,Nordrhein-Westfalen,7675332,8137314,15812646,907154,885178,1792332,8582486,9022492,17604977
2014,Rheinland-Pfalz,1803162,1881405,3684567,161594,156813,318407,1964756,2038218,4002974
2014,Saarland,443553,470622,914175,38964,36738,75702,482517,507360,989877
2014,Sachsen,1923632,2018826,3942458,59754,48618,108372,1983386,2067444,4050830
2014,Sachsen-Anhalt,1064789,1119984,2184773,32426,22864,55290,1097215,1142848,2240063
2014,Schleswig-Holstein,1304859,1375243,2680102,71882,71426,143308,1376741,1446669,2823410
2014,Thueringen,1036428,1073192,2109620,26881,22300,49180,1063309,1095491,2158800
2015,Baden-Wuerttemberg,4590275,4780752,9371027,748531,678574,1427105,5338806,5459326,10798131
2015,Bayern,5573718,5805048,11378766,727351,661425,1388775,6301069,6466473,12767541
2015,Berlin,1445758,1528091,2973849,265618,255474,521091,1711376,1783565,3494940
2015,Brandenburg,1176625,1217715,2394339,42754,34256,77010,1219379,1251971,2471349
2015,Bremen,277031,294261,571292,50629,44769,95397,327659,339030,666689
2015,Hamburg,731842,789539,1521381,133412,120307,253719,865254,909846,1775100
2015,Hessen,2589490,2706907,5296396,430252,408383,838634,3019741,3115289,6135030
2015,Mecklenburg-Vorpommern,763658,791684,1555342,29231,21178,50409,792889,812862,1605750
2015,Niedersachsen,3572758,3727039,7299797,307986,268887,576873,3880744,3995926,7876669
2015,Nordrhein-Westfalen,7661342,8110827,15772169,1025670,953969,1979639,8687011,9064796,17751807
2015,Rheinland-Pfalz,1799401,1875783,3675184,185533,171476,357009,1984934,2047259,4032193
2015,Saarland,440776,466945,907721,44839,39757,84596,485615,506701,992316
2015,Sachsen,1919862,2012301,3932163,79722,58178,137900,1999584,2070479,4070063
2015,Sachsen-Anhalt,1056153,1110613,2166766,45090,28654,73744,1101243,1139266,2240509
2015,Schleswig-Holstein,1304711,1374808,2679519,85744,79527,165270,1390455,1454335,2844789
2015,Thueringen,1029212,1065826,2095038,39823,28876,68699,1069035,1094702,2163737
2016,Baden-Wuerttemberg,4591490,4777588,9369078,823037,723641,1546678,5414527,5501229,10915756
2016,Bayern,5569636,5797036,11366671,806861,713601,1520462,6376496,6510637,12887133
2016,Berlin,1446323,1529143,2975466,294794,277171,571965,1741117,1806314,3547431
2016,Brandenburg,1175802,1218610,2394411,54182,41145,95326,1229983,1259754,2489737
2016,Bremen,275483,292607,568090,57702,49330,107031,333185,341937,675121
2016,Hamburg,734564,792167,1526731,145112,127081,272192,879676,919248,1798923
2016,Hessen,2584662,2700650,5285312,472682,436637,909318,3057344,3137287,6194630
2016,Mecklenburg-Vorpommern,760336,789604,1549940,36314,25265,61578,796650,814869,1611518
2016,Niedersachsen,3563853,3717501,7281354,355544,299244,654788,3919397,4016745,7936142
2016,Nordrhein-Westfalen,7633294,8079978,15713272,1139096,1025441,2164536,8772390,9105419,17877808
2016,Rheinland-Pfalz,1793199,1869391,3662590,209719,187119,396838,2002918,2056510,4059428
2016,Saarland,437291,462827,900118,51733,44274,96007,489024,507101,996124
2016,Sachsen,1913401,2004729,3918130,97375,67812,165187,2010776,2072541,4083317
2016,Sachsen-Anhalt,1046610,1101011,2147621,57962,35279,93241,1104572,1136290,2240861
2016,Schleswig-Holstein,1301903,1373212,2675115,104159,91047,195206,1406062,1464259,2870320
2016,Thueringen,1020971,1057827,2078798,50538,35086,85624,1071509,1092913,2164421
2017,Baden-Wuerttemberg,4589679,4772990,9362669,866825,758166,1624991,5456503,5531156,10987659
2017,Bayern,5566716,5790615,11357331,852946,753702,1606647,6419662,6544316,12963978
2017,Berlin,1446049,1530110,2976159,319935,298069,618004,1765984,1828179,3594163
2017,Brandenburg,1174459,1219259,2393718,59369,46258,105627,1233827,1265517,2499344
2017,Bremen,273812,290951,564763,62258,52872,115130,336070,343823,679893
2017,Hamburg,736686,794651,1531337,155063,134112,289175,891748,928763,1820511
2017,Hessen,2576740,2693821,5270561,497557,460058,957614,3074297,3153879,6228175
2017,Mecklenburg-Vorpommern,756798,787768,1544566,38372,27959,66331,795170,815727,1610897
2017,Niedersachsen,3551542,3707379,7258921,376094,319215,695309,3927636,4026594,7954230
2017,Nordrhein-Westfalen,7597507,8047207,15644713,1184663,1071741,2256404,8782170,9118948,17901117
2017,Rheinland-Pfalz,1785602,1863028,3648630,223211,198025,421236,2008813,2061053,4069866
2017,Saarland,433381,458746,892126,55275,48018,103293,488656,506764,995419
2017,Sachsen,1905727,1997135,3902862,104376,74309,178684,2010103,2071443,4081546
2017,Sachsen-Anhalt,1036562,1091605,2128167,62103,39397,101500,1098665,1131002,2229667
2017,Schleswig-Holstein,1298327,1370731,2669058,116273,100543,216816,1414600,1471274,2885874
2017,Thueringen,1012466,1049531,2061996,53976,38695,92671,1066441,1088226,2154667
2018,Baden-Wuerttemberg,4587165,4766944,9354109,902352,790018,1692370,5489517,5556962,11046479
2018,Bayern,5566349,5785365,11351714,894799,790450,1685249,6461148,6575815,13036963
2018,Berlin,1444653,1528029,2972682,339881,316598,656479,1784534,1844627,3629161
2018,Brandenburg,1173887,1219884,2393771,63829,50379,114208,1237716,1270263,2507979
2018,Bremen,272087,288851,560937,65264,55809,121072,337350,344659,682009
2018,Hamburg,739663,796978,1536641,159965,139276,299241,899628,936254,1835882
2018,Hessen,2570595,2687575,5258170,516745,479621,996366,3087340,3167196,6254536
2018,Mecklenburg-Vorpommern,753609,785984,1539592,40648,30158,70805,794256,816141,1610397
2018,Niedersachsen,3542790,3698361,7241151,394770,336692,731461,3937560,4035052,7972612
2018,Nordrhein-Westfalen,7568181,8015557,15583738,1224924,1113731,2338655,8793105,9129288,17922393
2018,Rheinland-Pfalz,1779597,1857374,3636970,234753,207539,442292,2014350,2064912,4079262
2018,Saarland,429763,454768,884531,57264,50554,107818,487027,505321,992348
2018,Sachsen,1898603,1988873,3887475,111314,80834,192148,2009917,2069706,4079623
2018,Sachsen-Anhalt,1026994,1082433,2109427,63784,42491,106275,1090778,1124924,2215701
2018,Schleswig-Holstein,1296294,1368888,2665181,121703,106383,228086,1417996,1475271,2893267
2018,Thueringen,1004342,1041275,2045617,58568,42991,101559,1062909,1084266,2147175
__________,,,,,,,,,,
,,,,,,,,,,
,2020,,,,,,,,,
